length, mark, action, count, code, tree
  1.775,136,buy,806,[E5]9YA3#5,Bean
  1.825,10,buy,793,[Y4]0MY4#0,Cherry
  1.293,196,sell,888,fZ8]3IZ4#7,Larch
  1.578,108,buy,505,[R6]5KP3#5,Ebony
  1.960,68,buy,812,[N(]6TL2#5,Apple
  1.329,168,buy,788,[Q9]2CN1#3,Elm
  1.031,169,sell,631,[O4]4NU8#7,Fir
  0.361,37,buy,903,[Y2]0BO5#4,Ebony
  0.692,179,buy,897,[V3]5GP5#1,Olive
  6.208,79,sell,994,[A6]0QY7#7,Spruce
  1.304,145,sell,832,[F8]3LK5#6,Fir
  0.441,173,buy,695,[T1]8CZ1#3,Bohdi
  0.662,73,buy,818,[W2]3HU9#8,Bean
  0.829,150,sell,967,[Q5]5NW7#1,Plane
  2.710,172,sell,915,[X3]7EQ0#9,Ash
  0.891,184,buy,911,[BW]9WL5#6,Larch
  0.471,155,buy,744,[H0]4LK5#3,Pear
  7.925,170,buy,817,[M4]4XX8#6,Cherry
  1.956,2,buy,900,[F7]5TX8#4,Acacia
  0.105,32,buy,900,[N1]1HX3#3,Acacia
  0.284,5,buy,922,[K7]6HA7#9,Pear
  5.088,57,buy,830,[Q6]2ZN6#0,Walnut
  1.569,62,buy,874,[S9]0MW4#4,Apple
  9.335,41,buy,915,[A1]7PQ5#2,Ebony
  0.909,101,buy,776,[I8]9IH7#9,Olive
  1.743,16,buy,906,[G5]9VF6#6,Pear
  1.485,167,buy,552,[Y7]0[J3#5,Acacia
  2.002,179,buy,952,[X*]7HT7#2,Fir
  1.095,170,buy,780,[P3]0SG2#9,Acacia
  0.740,190,sell,1000,[V1]3VO2#6,Larch
  4.221,35,buy,859,[A7]1QK7#5,Hornbeam
  0.856,69,buy,286,[C4]3ZA8#4,Chestnut
  1.263,123,buy,976,[N8]6AG6#8,Bean
  1.856,147,buy,441,[Q7]7AX3#6,Balsa
  2.045,172,sell,771,[[8]8MP6#9,Larch
  6.539,142,buy,977,[9]5UC8#4,Holly
  9.846,131,sell,533,[P8]2DH4#7,Hazel
  1.385,172,buy,1003,[M1]9MT7#6,Elm
  1.432,27,buy,91,[E7]0BO5#0,Fir
  6.726,31,buy,654,[E9]9SF6#4,Hazel
  6.882,123,buy,106,[P6]6KS2#1,Chestnut
  1.172,28,buy,313,[V1]2HQ5#5,Ebony
  0.672,148,sell,949,[P0]6MR0#9,Beech
  0.473,151,buy,957,[F4]9FL3#4,Beech
  4.532,155,buy,853,[E5]5HC2#5,Hazel
  1.703,126,buy,879,[U5]5FE6#5,Olive
  9.655,130,buy,104,[T1]3FQ6#7,Olive
  1.270,184,sell,15,[C5]9HK8#2,Pear
  4.704,13,buy,938,[Y7]1LD1#5,Elm
  6.376,187,buy,857,[8N6]5SC9#3,Yew
  1.184,113,buy,987,[L2]7IA4#5,Bean
  0.938,119,buy,337,[K9]3ED7#7,Elm
  1.949,170,buy,742,[Z3]0DQ4#0,Olive
  0.247,139,buy,248,[K2]0QU2#6,Rowan
  1.487,19,buy,584,[C7]7EK7#2,Hazel
  1.767,178,buy,1003,[I7]9TW6#3,Bohdi
  0.706,184,buy,959,[C1]2YG8#4,Hazel
  0.862,97,buy,980,[J7]5PA8#9,Hazel
  0.828,131,buy,851,[R8]2RN2#7,Ebony
  0.995,35,buy,874,[I0]3YQ8#9,Bohdi
  2.163,197,buy,931,[I2]4EG0#3,Fir
  3.886,198,buy,819,[B5]8BH9#5,Holly
  0.494,190,buy,925,[W7]2ME1#2,Hornbeam
  0.272,64,buy,770,[Y3]8OD3#4,Birch
  0.979,179,buy,840,[V2]5UU4#1,Hazel
  0.328,165,sell,826,[H0]1HS5#5,Yew
  1.422,7,sell,771,[T8]3OK8#2,Lemon
  8.757,2,buy,910,[O7]7AG0#1,Acacia
  0.108,64,sell,891,[T4]6NN1#3,Chestnut
  1.229,52,sell,994,[S5]8LS4#8,Larch
  1.436,72,buy,807,[K3]8GN3#7,Beech
  0.907,43,buy,246,[N9]9DW9#7,Beech
  2.591,85,buy,876,[P0]0YR2#2,Walnut
  1.058,136,sell,774,[P4]7RZ3#1,Fir
  6.094,173,buy,980,[L4]4AS0#7,Birch
  1.628,114,buy,97,[Y0]7VH9#1,Acer
  3.316,150,buy,917,[Y0]7HX1#7,Hazel
  1.865,128,buy,993,[U2]3FH0#5,Beech
  4.001,158,buy,897,[H4]0BB0#5,Hornbeam
  6.620,42,buy,1001,[Y2]6DI7#7,Larch
  1.893,164,sell,1000,[G7]8ER3#4,Pear
  1.368,180,buy,901,[Y4]2LK9#6,Ash
  1.992,158,buy,45,[[6]7SH4#9,Bean
  1.135,90,buy,306,[Z6]2WM3#4,Bean
  1.432,120,buy,777,[L1]8VD9#1,Cherry
  1.636,94,buy,951,[H!]0KS1#5,Holly
  1.035,149,sell,41,[N1]0FE1#6,Elm
  0.488,101,buy,774,[R0]0LB7#6,Lemon
  1.861,76,buy,890,[P9]0NR0#2,Bean
  0.710,17,buy,787,[F0]4FU8#0,Spruce
  1.294,91,buy,931,[F1]3CJ6#1,Balsa
  3.946,89,buy,1000,[O9]3WN8#1,Elm
  0.834,0,buy,314,[U6]2ME4#1,Birch
  1.891,12,buy,222,[T5]6GB8#9,Pear
  1.045,127,buy,819,[B7]6UC4#4,Holly
  1.633,109,buy,769,[E1n9MI3#9,Bohdi
  1.640,185,sell,773,[R4]5TG6#5,Rowan
  6.665,195,buy,985,[O0]8RA2#9,Hazel
  2.073,130,buy,829,[T8]8CZ2#3,Larch
  1.310,182,sell,918,[I4C6BR6#8,Pear
  0.464,12,buy,918,[O2]2X1#1,Birch
  1.854,122,sell,956,[U4]8EI#4,Bohdi
  3.764,132,buy,850,[B5]0OA9#6,Hornbeam
  1.983,124,buy,845,[M8]2JG8#1,Fir
  0.848,175,buy,800,[J4]7GK8#0,Beech
  0.720,157,buy,922,[I9]2VS7#1,Rowan
  0.763,93,buy,830,[B0]4HE6#4,Hazel
  0.470,41,buy,350,[M4]0VB4#1,Elm
  1.614,71,buy,747,[G0]4OT8#7,Birch
  1.962,156,buy,836,[L0]9FT6#9,Birch
  4.914,170,buy,829,[K9]3GQ1#2,Ebony
  1.044,101,buy,915,[Z5]6SE1#0,Bean
  2.151,107,buy,833,[W1]4PD8#8,Ebony
  0.305,136,buy,826,[WY]2ER2#3,Rowan
  0.810,141,buy,942,[F2]7G93#8,Acacia
  0.922,198,buy,371,[A1]4N40#4,Birch
  7.676,145,buy,364,[T9]4DO0#3,Larch
  1.886,168,buy,882,[X7]2ZD0#8,Holly
  1.566,197,buy,171,[L0]9OK7n5,Cherry
  1.282,100,buy,835,[N8]9OG0#3,Oak
  1.220,2,buy,855,[R4]7FX3#9,Larch
  0.577,189,buy,463,[E7]2UO7#1,Spruce
  0.700,98,buy,747,[V5]4UU=#8,Ebony
  1.943,121,buy,828,[X7]8VDJ2#3,Walnut
  6.963,74,buy,755,[N9]7ZP7#1,Ebony
  1.420,191,buy,821,[C1]3ZC0#3,Spruce
  2.030,118,buy,813,[C7]5DE2#7,Holly
  1.320,163,buy,106,[U6]6G48#6,Acacia
  6.974,116,buy,458,[71]8GR1#4,Larch
  2.222,190,buy,631,[AD]8GJ8#0,Rowan
  0.727,6,buy,987,[F4]6JB7#1,Yew
  1.876,59,buy,816,[N7]5GJ8#6,Bean
  0.856,9,sell,919,[V5]6LA4#3,Acer
  1.496,146,buy,791,[S4]3GZ4#1,Beech
  0.711,170,sell,792,[X0]1EY4#1,Cherry
  1.459,149,sell,369,[B4]0TE0#8,Hazel
  1.359,64,buy,433,[I6]2OU5#4,Magnolia
  2.100,164,buy,889,[E9]1SV2#9,Spruce
  1.467,154,sell,759,[E8]8PN2#7,Acacia
  1.582,169,buy,986,[K1]1LR3#2,Lemon
  8.835,199,buy,114,[U3]6IR[9#6,Birch
  0.796,189,buy,232,[A1]3L05#9,Ash
  0.733,143,buy,1002,[X0]5pMH9#3,Hornbeam
  1.609,196,buy,821,[V3]4XO1#7,Ebony
  2.154,198,buy,984,[D9]9YH0#9,Fir
  1.684,120,buy,868,[F6]2XN6#5,Pear
  4.474,193,sell,779,[N6]1BR9#8,Ash
  1.350,166,buy,6,[V4]4FM9#3,Hazel
  1.191,192,buy,918,[I6]9SS1#8,Magnolia
  2.031,157,sell,754,[G1]7WT1#6,Bohdi
  0.498,198,buy,937,[Z6]7IH0#7,Olive
  1.469,177,buy,277,[B6]4UF3#5,Acacia
  3.658,120,buy,800,[O0]4LC6#2,Cherry
  9.456,30,buy,783,[P1]1DH4#3,Fir
  1.031,51,buy,222,[G3]1QX7#9,Hazel
  1.135,54,buy,188,[X5]9IV6i3,Fir
  1.521,142,buy,778,[N5]5AQ8#6,Elm
  1.901,135,buy,805,[O1]3FF9#6,Fir
  1.537,192,buy,419,[U7]2JZ1#9,Pear
  0.925,154,buy,812,[64]4XM9#2,Beech
  2.073,29,buy,785,[W6]3CT7#4,Oak
  6.668,133,buy,964,[O8]AY6#9,Cherry
  1.571,93,buy,1002,[X5]6EG1#7,Spruce
  0.206,167,buy,987,[K7]5BN5#9,Elm
  1.141,161,buy,540,[L8]3MS3#5,Hazel
  4.083,123,buy,953,[L0]1FF6#8,Walnut
  1.920,153,buy,793,[A593WA9#3,Ash
  0.872,147,buy,876,[E7]2XE8#5,Olive
  0.282,175,buy,639,[O6]2II7#6,Ebony
  0.503,73,buy,15,[P8]4VO4#4,Walnut
  2.098,178,buy,30,[U4]4DK6#2,Hornbeam
  2.218,196,sell,940,[F8]6MP8#1,Ash
  0.192,151,buy,283,[X1]9OO6#7,Holly
  1.963,102,buy,824,[Z0]4JF1#3,Acacia
  1.106,159,buy,944,[G0]1BH1#6,Acer
  0.451,130,buy,937,[S7]6YJ6#4,Fir
  0.558,116,buy,956,[I4]1RS4#1,Walnut
  4.403,137,buy,816,[V5]9GD2#3,Lemon
  9.371,37,buy,961,[C7]6CK6#5,Pear
  1.900,148,buy,973,[P5]8SB5#7,Cherry
  1.074,101,buy,812,[D0]4KB3#1,Walnut
  3.330,130,buy,538,[R5]3DN4#7,Elm
  3.504,16,buy,364,[L9]1MP8#3,Elm
  1.172,1,buy,969,[N0]aCI4#8,Walnut
  2.171,41,buy,974,[A1]9KZ2#1,Pear
  0.494,104,buy,773,[T2]1DU3#6,Elm
  1.621,85,buy,735,[V7]0EI8#8,Larch
  1.920,172,buy,765,[Z2]8rX4#1,Olive
  2.067,71,buy,196,[F7]7HL6#6,Bean
  4.354,184,buy,969,[C4]3BO1#6,Yew
  1.293,114,buy,63,[O8]2ZN4#3,Birch
  8.716,142,buy,235,[G2]6ZS8#9,Acer
  0.896,19,buy,788,[H3]8HC0#2,Larch
  0.471,60,buy,998,[Q4]9TL3#6,Acacia
  2.110,117,buy,743,[V4]3IB0#6,Olive
  0.554,1,buy,937,[N3]8MW2#0,Walnut
  1.988,82,buy,217,[T0]1UC9#1,Olive
  0.971,114,buy,987,[G9]3EY1#9,Hornbeam
  1.504,194,buy,939,[Z7]6PI3#2,Bohdi
  1.330,125,buy,753,[N7]4IL4#5,Acacia
  0.449,105,buy,781,[yB3]6KC9#7,Larch
  1.174,3,buy,877,[MQ]2NC2#0,Oak
  1.636,142,buy,232,[M5]8LE5#7,Acer
  0.318,195,buy,966,[N0]6KO8#2,Acacia
  3.364,176,buy,966,[Y6]2ES4#0,Balsa
  1.289,159,buy,850,[S4]5IG5#0,Fir
  0.972,152,buy,996,[I1]4KY1#2,Rowan
  9.549,181,buy,881,[O6]5KA3#7,Walnut
  9.702,191,buy,937,[A5]6OA7#8,Birch
  1.595,116,buy,928,[Z6]7AB4#2,Elm
  0.561,74,buy,966,[N5]0CV1#7,Bean
  1.299,95,buy,775,[Fk6]9IM9#7,Birch
  0.794,162,buy,740,[LV]4DP4#6,Poplar
  2.036,13,buy,870,[U2]1ZO7#9,Fir
  2.004,134,buy,883,5F4]4PR8#3,Balsa
  1.187,173,buy,991,[Z4]7JHX7#8,Acacia
  5.814,177,buy,16,[X6]9QL3#8,Holly
  0.922,146,buy,949,[Q5]0XI7#1,Acacia
  1.001,63,buy,834,[D9]6BB9#3,Olive
  0.162,50,buy,610,[C5]2YG2#5,Ash
  5.367,42,buy,888,[V0]0TC5#0,Hazel
  0.552,51,buy,937,[E5]9GC5#8,Rowan
  1.662,178,buy,901,[C8y4ZI2#6,Olive
  1.616,183,buy,847,[Q8]6IE8#1,Holly
  0.645,178,buy,868,[S9]2ED8#7,Acacia
  0.620,152,buy,967,[O3]4WC8#0,Cherry
  1.218,90,buy,833,[E3]3SV0#9,Bean
  1.933,184,buy,391,[P1]3GE9#8,Elm
  0.459,63,buy,838,[T9]8BF6#2,Rowan
  1.297,72,buy,193,[L6]0VV6#6,Balsa
  0.877,161,buy,117,[U6]0JY5#8,Balsa
  0.445,190,buy,753,[J6]2WJ1#3,Olive
  0.616,89,buy,492,[B6]4U3#1,Ebony
  0.871,198,buy,549,[A1]8OM3#5,Acacia
  0.646,16,buy,866,[D5]8NC5#1,Hornbeam
  1.468,87,buy,970,[B>]9EO6#4,Bean
  0.337,83,buy,946,[U6]7Dy3#9,Larch
  0.269,8,buy,983,[Y6]2HH1#1,Rowan
  5.703,5,buy,983,[P2]4NH4#2,Walnut
  2.062,121,buy,938,[H5]6IK6#6,Lemon
  9.041,119,buy,152,[I5]8AD2#1,Lemon
  0.526,107,sell,217,[Q0]5NU3#3,Olive
  0.355,196,buy,825,[Z5]4UQ4#3,Walnut
  2.016,162,buy,883,[J4]6SO6#0,Ebony
  0.360,149,sell,191,[L2]1GH2#3,Oak
  1.857,28,buy,968,[B5]5MD6#5,Beech
  6.124,97,buy,382,[H5]9PC54#1,Fir
  2.028,173,buy,913,uQ9]6NA2#8,Hazel
  0.171,183,buy,445,[D3]8MB4#0,Oak
  1.953,144,buy,892,[S7]2UP0#8,Plane
  0.570,98,buy,511,mO9]9QS3#6,Balsa
  1.274,136,buy,933,cK6]3YE9#1,Walnut
  1.644,79,buy,816,[I9]9NX2#3,Birch
  0.812,121,buy,910,[J9]4DR5#0,Spruce
  1.720,138,buy,990,[K6]2PT1#5,Elm
  4.531,54,buy,578,[Q5]7UG1#1,Birch
  0.814,173,buy,982,[S4]7TV2#1,Holly
  0.218,187,buy,721,[T4]7MJ0#5,Fir
  9.425,24,buy,815,3[C8]5BY6#9,Hazel
  4.146,70,sell,782,[O8]0NE6#0,Ebony
  1.072,17,buy,967,[R0]9FF6#9,Pear
  6.946,10,buy,981,[T0]3KS2#2,Spruce
  0.112,124,buy,97,[S3]9QN8#3,Yew
  1.576,125,sell,803,[A2]2TB3#3,Rowan
  0.115,121,buy,754,[I7]9KK0#6,Bean
  5.607,142,buy,509,[E6]3JU9#6,Cherry
  1.164,147,sell,777,[M]2ZK6#8,Yew
  0.755,42,sell,834,[A5]6FE0m0,Oak
  2.050,123,buy,979,[A6]2MA8#5,Acacia
  0.119,141,buy,809,[W5]1SO6#5,Olive
  0.224,159,buy,794,[O3]8LK1#3,Bohdi
  0.480,185,buy,899,[U6]6AP3#6,Bean
  1.264,109,buy,977,[R6]9DS5#5,Pear
  2.186,109,sell,918,[R5]6JE0#5,Yew
  0.984,150,buy,269,[S3]1OE6#4,Hazel
  1.504,163,buy,987,[Z5]9BS5#2,Fir
  1.795,56,buy,679,[N9]4SB7#5,Ebony
  0.747,110,buy,790,[V4]9WO7#6,Acacia
  2.114,194,sell,756,[P9]8NS6#8,Spruce
  1.193,191,buy,995,[Q8]1WU7#0,Chestnut
  2.571,93,sell,858,[O8]1QU4#7,Holly
  1.963,175,buy,935,[G7]0KR3#0,Walnut
  0.510,70,buy,936,[E1]1XA6#3,Balsa
  1.361,187,buy,996,[Z0]4QU5#5,Olive
  0.461,137,buy,844,[C4]1PF6#0,Bean
  5.190,193,sell,187,[C9]9VE9#8,Acacia
  0.300,54,buy,869,[M9]4VI6#3,Ash
  1.857,88,buy,775,[W0]8TC4#4,Bohdi
  0.661,180,buy,792,[U7]8QQ3#3,Spruce
  1.525,172,sell,824,[E0]7ZC9#4,Balsa
  1.054,186,buy,259,[F9]0BU2#3,Spruce
  4.381,56,buy,866,[S3]9OR1#2,Ebony
  1.681,78,buy,771,[P6]7AQ8#3,Yew
  0.240,189,buy,895,[V4]9ZR4#6,Olive
  0.231,112,sell,780,[X9]1RP9#1,Holly
  0.686,152,buy,795,[E8]4GN8#8,Ebony
  7.162,180,buy,759,[O8]2XU8#8,Balsa
  4.606,193,buy,223,[P1]2DF8#5,Spruce
  0.785,144,buy,764,[V0]2XUg#4,Magnolia
  3.614,32,sell,337,[D3]3JT6#9,Lemon
  0.651,160,buy,862,[J0]4NK8#7,Balsa
  1.070,72,buy,918,[Z6]8GH8#0,Acacia
  5.935,102,buy,960,[R5]1FP5#1,Lemon
  7.631,126,buy,869,[D2]4RS1#3,Ebony
  0.328,169,buy,778,[D5]6XG5#9,Beech
  2.220,76,buy,537,[A6O4CR9#0,Bean
  1.569,137,buy,48,[U1]1AE0#9,Olive
  1.812,126,buy,977,[P5]5NG8#5,Oak
  0.703,193,buy,545,[B6]8VU5#6,Pear
  0.920,174,buy,307,[Q7]0LH8#2,Ebony
  0.833,115,buy,208,[W2]7RU0#6,Fir
  1.358,172,buy,1003,[C2]3LF6#3,Hornbeam
  2.025,192,buy,843,[C5]7CS8#9,Balsa
  0.815,29,sell,795,r[U5]0ZC1#5,Ebony
  0.288,119,buy,807,[H3]8{P5#6,Ebony
  1.858,110,buy,822,[F4]7PA3#9,Fir
  1.575,1,buy,933,[B]7PU9#0,Olive
  0.892,48,buy,963,[O4]8UI9#7,Rowan
  1.710,9,buy,960,[D0]5WS2#6,Beech
  2.153,140,sell,542,[I0f9LQ6#8,Balsa
  0.274,157,sell,772,[I8]7LS8#1,Lemon
  1.066,157,buy,211,[X0]8AZ0#6,Elm
  2.199,14,buy,778,[I3]2UW2#8,Acacia
  4.685,65,buy,754,[T2]6UV8#3,Elm
  0.403,56,buy,746,[W2]7IA0#0,Bean
  0.220,61,sell,798,[V5]9CM2#8,Rowan
  7.481,100,buy,785,[Q3]3OR4#2,Apple
  9.812,192,buy,166,[R7]4DQ9#2,Balsa
  1.727,151,buy,927,[P5]4EA5#6,Magnolia
  1.537,199,buy,873,[S4]1VE5#7,Fir
  2.155,52,buy,940,[S8]1TT6x2,Walnut
  1.338,128,buy,720,[E7]0ZZ3#0,Acacia
  6.296,190,buy,508,[S2]3HL2#0,Pear
  0.348,139,buy,452,[S6]2PS9#4,Oak
  8.096,25,buy,262,[A6]2WZ5#2,Spruce
  0.781,187,buy,304,[A7]1ZE9#6,Olive
  0.550,166,buy,925,[J9]5WI7#9,Olive
  0.519,194,buy,851,[R8]5MN7#3,Balsa
  0.949,192,buy,771,[Q4]6QO5#2,Ash
  1.562,131,sell,944,[L7]4ET3#1,Fir
  3.134,121,buy,775,[L8]9DS4#9,Ebony
  1.333,91,sell,900,[Z6]0HH2#9,Chestnut
  0.771,152,buy,908,[F4y8ME9#6,Olive
  0.461,4,buy,754,[J7]1SM5#4,Linden
  9.290,103,buy,525,[T9]8GE4#0,Bohdi
  7.094,174,sell,651,[Y9]3NV3#5,Cherry
  1.671,182,buy,117,[Y7]9IH1#7,Larch
  0.857,175,buy,815,[Q0]3HE5#8,Rowan
  2.911,170,sell,989,[S6]1LG3#5,Pear
  0.715,123,buy,837,[T6]2MN1#9,Hazel
  5.025,14,buy,913,[J1]3BL6#7,Bean
  1.732,10,buy,989,[U9]6Q)5#1,Larch
  0.413,129,buy,754,[Z2]9OJ4#2,Bean
  1.227,14,buy,888,[K4]7TC2#7,Beech
  1.432,11,buy,866,[O0]+NP3#3,Ebony
  4.404,82,buy,898,[W3]4BN5#5,Pear
  1.480,136,sell,926,[E1]6GE0#8,Cherry
  9.547,143,buy,908,[T4]5GU5#5,Beech
  0.789,186,buy,778,[Z6]1HY4#0,Yew
  0.868,152,buy,787,[V2]7MP6#7,Holly
  1.619,142,buy,843,[U2]9ZSV#8,Acer
  0.585,135,buy,818,[C1]1LN5#5,Bean
  0.189,76,buy,359,[G0]8KC2#6,Fir
  0.760,103,buy,939,[P0]3ET9#0,Plane
  0.213,51,buy,906,[R8]1EJ8#2,Ash
  0.830,190,buy,815,[A1]NB4#3,Hazel
  1.429,37,sell,866,[Q2]9RZ3#4,Yew
  2.095,26,buy,880,[T3]6BP1#8,Yew
  2.044,166,buy,865,[S6]9SS6#8,Pear
  1.909,22,buy,967,[D6]0US7#7,Lime
  0.640,116,sell,327,[I2]4XI4N0,Cherry
  2.085,85,buy,987,[G1]3IX7#5,Acer
  1.556,66,buy,966,[C7]3GI8#9,Walnut
  2.212,67,sell,755,[K6]8GI2#8,Chestnut
  4.092,100,sell,762,[S6]8FA5#2,Holly
  1.960,102,buy,484,[X3]2BI9#2,Pear
  0.774,198,buy,858,[J2]9GK9#6,Spruce
  0.650,148,buy,969,[R4]2AG5#6,Elm
  1.607,85,buy,933,[J2]1BC6#3,Birch
  1.422,55,buy,974,[D8]1CT9#1,Lemon
  2.077,173,sell,902,[U5]4YN5#1,Cherry
  2.202,152,buy,791,[Z6]6VU9#8,Larch
  5.948,37,buy,754,[I1]9SB5#9,Hazel
  1.913,161,buy,920,[F7]1NF4#7,Hornbeam
  1.597,170,buy,911,[C7]3OT7h7,Acacia
  4.231,56,buy,771,[H1]7DG8#5,Yew
  0.350,124,buy,829,[Q4]5DL0#4,Ebony
  1.388,137,sell,830,[W9]9IG7#6,Cherry
  2.038,2,sell,775,[P6]9QF8#4,Hazel
  1.617,97,buy,824,[W5]5NR0#9,Larch
  0.129,194,buy,999,[V9]3RT3#9,Fir
  1.335,164,buy,932,[T6]6EY3#0,Walnut
  0.851,76,sell,867,[G6]9NH2#5,Spruce
  1.555,197,buy,985,[D2]7RS7#2,Bohdi
  1.529,35,buy,958,[N6]0SH5#5,Cherry
  1.419,53,sell,877,[G2]1KB4#7,Cherry
  1.040,65,buy,804,[U1]9QI9#2,Hornbeam
  0.743,147,buy,884,[W7]5ID9#5,Rowan
  5.440,39,buy,952,[L6]6AA7#2,Acacia
  0.985,147,buy,871,[V0]5PB7#9,Rowan
  1.554,158,buy,871,[N7]IV5#7,Balsa
  0.292,196,buy,757,[V2]3ZI9#2,Larch
  1.000,8,buy,503,[N5]0TL5#0,Spruce
  0.703,137,buy,890,[P5]9C0#8,Hornbeam
  1.318,8,buy,902,[F9]1JR6#8,Birch
  1.905,172,buy,328,[W3]6BB1#7,Bean
  1.825,120,buy,818,[M1]4ZZ1#8,Acer
  1.001,92,buy,439,[H4]3YW3#6,Fir
  1.755,166,buy,7,[O6]5KR9#6,Birch
  0.368,131,buy,878,[N0]5OI7#1,Balsa
  0.186,152,buy,795,[P6]8HF3#1,Bean
  1.809,26,buy,961,[K2]8ZS9#0,Beech
  1.874,130,buy,852,[J0]9HB5#0,Olive
  1.504,55,buy,955,[V6]4JV4#3,Pear
  0.787,97,buy,782,[A3]7PH4#3,Olive
  2.564,198,buy,830,[O6]4GG5#6,Spruce
  1.791,89,buy,50,[Y5]1RG7#6,Ash
  1.984,157,buy,922,[U6]3PU2#7,Beech
  4.341,19,buy,831,[~8]2VX6#4,Birch
  0.217,195,buy,329,[S3]0LR7#4,Hornbeam
  1.085,185,buy,913,[L1t6OH5#4,Acacia
  1.062,172,buy,78,[E1]0WR1#3,Chestnut
  0.411,190,buy,754,[J8]9RO2#1,Birch
  0.295,43,buy,821,[N8]1[J9#9,Elm
  0.982,117,buy,745,[A7]0EI6#2,Pear
  1.355,141,buy,973,[C9]1VH2#8,Ebony
  5.574,192,buy,660,[E9]3AE4#4,Acacia
  0.612,167,buy,890,[N6]2ZF2#6,Acacia
  5.832,117,buy,940,[U5]3HJ5#2,Hazel
  0.189,93,buy,776,[E3]4UB7#4,Beech
  1.719,198,buy,883,[K6]37QA8#8,Balsa
  3.811,155,buy,882,[U8]3VC1#2,Pear
  1.937,24,buy,380,[S8]2XY5#2,Spruce
  7.962,21,buy,900,[I7]9GP7#4,Bean
  1.516,170,buy,812,[F6]2HJ6#1,Olive
  0.816,88,sell,798,[C9]3JC8#9,Pear
  1.469,53,buy,688,[I8]2GU6#7,Lime
  0.786,21,buy,333,[X7]30R7#8,Olive
  2.149,174,buy,869,[Q9]1uU4#9,Rowan
  0.123,191,buy,56,[X0]%EM5#2,Larch
  0.828,121,buy,754,[K3]=GS0#6,Fir
  0.619,157,buy,781,[M8]7TZ9#5,Acacia
  0.423,117,buy,960,[Z8]9EN9#8,Larch
  1.842,194,buy,939,[G1]4GV8#5,Walnut
  1.052,153,buy,830,[P7]9JO8#2,Ebony
  8.022,175,buy,792,[Y6]6UF3#6,Hazel
  0.146,114,sell,682,[P3]4MC8#3,Pear
  0.399,71,sell,828,[W8]6SK5#8,Acacia
  0.291,164,buy,638,[V0]5GE3#5,Walnut
  7.187,44,sell,635,[M7]5CD5#3,Holly
  1.958,158,sell,742,[K2]7LE2#6,Acacia
  0.913,150,buy,320,[U7]2SJ4#7,Fir
  0.102,162,sell,442,[C0]5IJ3#9,Plane
  0.565,159,buy,883,[Q2]7WS5#7,Hornbeam
  0.937,135,buy,889,[N6]0IJ4#0,Yew
  3.694,4,sell,917,[E6]1TA7#6,Ebony
  0.385,52,buy,857,[T{]4VR2#5,Apple
  2.132,72,buy,769,[R0]2XH6#6,Larch
  1.587,41,buy,846,[K7]2DO1#5,Elm
  0.122,38,buy,849,[I6N2ZJ2#0,Hornbeam
