length, mark, action, count, code, tree
  9.861,171,buy,804,[U4]7MN0#9,Ebony
  0.106,199,buy,870,[N9]8VA1#9,Elm
  0.117,182,buy,749,[D7]0XX2#6,Chestnut
  1.232,168,buy,492,[L1]8IX0#1,Chestnut
  3.520,138,buy,973,[D2]4HM3#4,Magnolia
  1.017,129,buy,999,[A1]3PG0#6,Fir
  0.732,162,buy,917,[P0]0ZF6#5,Ash
  0.674,177,buy,914,[B6]1CC1#6,Larch
  1.920,194,sell,987,[F7]6KS9#3,Elm
  8.291,17,buy,836,[D7]3QS1#7,Holly
  5.454,9,buy,762,[V1]6EQ5#8,Beech
  2.029,198,buy,154,[J7]3kRU3#5,Ebony
  0.457,197,buy,799,[Y4]6RQ8#2,Bohdi
  2.202,50,buy,893,[N4]9IR0#1,Linden
  3.267,61,buy,946,[I1]3FY5#7,Bohdi
  6.954,25,buy,835,[C0q0BI8#6,Cherry
  1.293,3,buy,965,[I7]3XW[6#7,Beech
  0.347,32,buy,753,[N3]2BP4#5,Bean
  1.781,175,buy,842,[C7]2RW8#5,Ebony
  2.036,107,buy,76,[D4]2EJ3#5,Rowan
  9.129,190,buy,882,[E7]5ID6#4,Hornbeam
  4.139,118,buy,893,[Q2]5WB5#8,Bohdi
  1.796,193,buy,280,[A<]9KG4#0,Acacia
  0.328,10,sell,930,[A0]5IP0#1,Beech
  0.290,74,sell,476,[P1]8EY7#7,Elm
  1.100,170,buy,917,[P8]HFY7#2,Beech
  9.168,156,buy,985,[G5]1WM7#6,Fir
  4.341,33,buy,958,[T7]ECC9#2,Rowan
  1.950,181,buy,605,[D3]4NA0#2,Holly
  0.780,186,buy,909,[G4]0FC9#7,Lime
  1.958,176,sell,911,[Z1]1LL4#9,Fir
  0.307,60,sell,340,[Q0]8MM2#1,Walnut
  0.643,191,buy,906,[L8]5ZF5#4,Lemon
  1.033,102,buy,867,[P1]8EU4#4,Chestnut
  1.054,196,buy,829,[K6]2DC5#4,Beech
  2.147,146,buy,948,[P0]2OQ9#3,Cherry
  0.984,115,buy,430,[G3]4WF5#4,Balsa
  1.824,139,sell,755,[V5]3ST3#7,Walnut
  1.206,160,buy,492,[f4]9TA6#9,Chestnut
  5.174,195,buy,850,[E0]7UU6#7,Rowan
  1.251,185,sell,938,[J7]8LR5#3,Ash
  2.000,121,buy,843,[G6]7DV9#5,Linden
  1.284,96,buy,844,[N4]8IU7#0,Lemon
  1.388,19,buy,867,[V1]6NC9#4,Spruce
  1.614,76,buy,779,[O2]7UP4#4,Birch
  8.562,154,buy,217,[P2]2FU9#4,Ash
  7.855,56,buy,761,[B2]2XE8#6,Cherry
  0.757,32,buy,955,[R2]5OR6#5,Elm
  6.104,92,buy,942,[P6]1YU4#1,Bean
  0.475,140,buy,825,[G2]3PX6#7,Spruce
  1.202,42,buy,835,[T3]6GG3#0,Spruce
  1.869,187,buy,796,[R3]5TL3#7,Poplar
  0.968,186,buy,748,[R8]9EU5#6,Hazel
  1.631,172,buy,897,[G2]2TQ8#7,Cherry
  8.990,193,buy,217,[B1]4MC2#7,Ebony
  0.987,158,sell,862,[U2]4SR8#4,Birch
  4.074,191,buy,105,[I8]5OH5#8,Elm
  7.703,118,buy,921,[G1]4RE6#5,Rowan
  1.083,176,buy,836,[C1]2XE8#1,Pear
  0.273,32,buy,211,[G9]0DO9#2,Walnut
  1.914,182,buy,916,[X1]6PL4#1,Hornbeam
  0.637,44,buy,976,[F9]{IF2#9,Acacia
  1.717,10,buy,844,[S0]8RD3#7,Acacia
  1.514,143,buy,950,[Q3]5PB62,Larch
  6.431,60,buy,735,[M7]3LY2#7,Pear
  1.636,181,buy,892,[O7]9XW4#1,Chestnut
  1.559,17,buy,901,[L4]0BQ0#9,Hornbeam
  1.869,52,buy,482,[Z3]5DL0#9,Elm
  0.127,103,buy,898,[J9]3LO6#4,Bean
  0.289,192,buy,987,[P5]5HD8#8,Bohdi
  0.382,73,buy,840,[F1]8IC2#5,Spruce
  1.113,182,buy,889,[J6]4JN0#8,Balsa
  1.088,166,buy,350,[O5]2hV3#8,Pear
  1.386,55,sell,631,[M9]9BY4#6,Spruce
  2.215,194,sell,773,[U7]0CT5#2,Acacia
  1.781,149,buy,920,[Z5]6YE7#9,Cherry
  1.274,116,buy,919,[R0]1UR9#7,Cherry
  0.800,198,buy,762,[A3]8BJ0#6,Cherry
  2.144,108,buy,825,[YC5]3PS9#2,Acacia
  0.451,123,buy,159,[G2]8AH6#3,Fir
  0.688,90,buy,932,[C9]3MJ2#6,Acer
  1.061,168,buy,410,[S3]2OE5#1,Bean
  1.464,114,buy,792,[A8]DW2#7,Ebony
  1.596,139,buy,999,[S2]3LL4#6,Birch
  1.274,118,buy,1005,[W4]7SI1#1,Ebony
  1.093,164,buy,913,[F6]1BOh7#6,Ebony
  1.884,22,buy,963,[L0]68W5#2,Larch
  1.754,166,buy,157,[N4]5UB0#2,Elm
  0.634,144,buy,978,[D5M3VR9#8,Ebony
  1.975,124,buy,262,[W4]9JY6#3,Elm
  1.801,129,buy,755,[K0h4AW1#6,Larch
  0.932,96,buy,802,[F8]6ZL9#8,Hazel
  3.500,100,buy,919,[N7]3PI8#8,Balsa
  6.874,126,sell,869,[P0]4PC5#2,Balsa
  1.591,93,buy,210,[K8]SAC5#9,Bean
  0.282,175,buy,967,[X9]0UA6#7,Fir
  1.138,74,buy,929,[E9]8FQ0#0,Holly
  0.541,158,buy,1000,[I7]1PM2#2,Lemon
  1.209,184,buy,997,[G7]6GX5#6,Rowan
  1.355,84,sell,953,[F9]8KU9#1,Hornbeam
  4.108,15,buy,44,[T4]4OF0#6,Oak
  2.024,188,buy,838,[F2]4RW4#7,Ash
  1.852,101,buy,916,[K0]2VY7#2,Hornbeam
  2.158,136,buy,941,[F3]2XP0#1,Hornbeam
  0.613,114,buy,831,[G7]4JO9#0,Olive
  2.183,165,buy,8,[I8]4AL4#6,Holly
  0.976,71,buy,930,[E7]0QI8#9,Walnut
  0.471,194,buy,124,[H8]1JZ0#1,Elm
  0.527,29,buy,827,[A4]5NB8#9,Apple
  0.456,159,buy,949,[F2]9BN9#7,Beech
  1.625,55,buy,417,[M6]0GO5#2,Spruce
  7.525,82,buy,970,[P8]3VT1#6,Ebony
  8.052,43,buy,995,[Z1]2MF4#8,Holly
  1.902,179,buy,974,[L9]5XT2#3,Bohdi
  2.962,173,buy,911,[H2]3RG8#5,Bean
  1.806,171,buy,918,[R4]3*K1#1,Bohdi
  0.813,95,buy,982,[33]4GH6#8,Apple
  1.487,167,sell,824,[D7]4IM1#0,Spruce
  1.886,182,buy,430,[D7]6UT4#2,Acacia
  0.974,193,buy,801,[M8]8TT2#9,Rowan
  1.786,157,buy,778,[H7]6DQ1#9,Holly
  0.997,59,sell,195,[P7]0AC0#1,Spruce
  9.004,56,buy,515,[K2]8OO7#0,Hazel
  1.561,21,sell,832,[U0c5FZ5#1,Ebony
  0.339,55,buy,524,[A6]2YV7#8,Ebony
  1.682,141,buy,800,[E5]3DG2#7,Ash
  0.919,143,buy,897,[Q2]2XU3#7,Elm
  2.140,82,buy,819,[N0]8FO6#9,Pear
  0.941,39,buy,994,[WF]0LE9#8,Beech
  1.054,136,sell,416,[T0]5EM4#3,Cherry
  2.484,47,buy,930,[N8]1AB7#6,Beech
  0.383,199,buy,916,[I2]3VR55,Larch
  9.384,199,buy,976,[14]3DQ6#8,Rowan
